date,variable,value
2005-04-30,bull_bear_spread,-4.960000000000001
2005-04-30,bullish_pct,29.75
2005-04-30,cma,-0.85
2005-04-30,hml,0.05
2005-04-30,mkt_ret,-2.4
2005-04-30,mkt_rf,-2.61
2005-04-30,neutral_pct,35.54
2005-04-30,rf,0.21
2005-04-30,rmw,0.97
2005-04-30,sentiment_michigan_ics,87.7
2005-04-30,smb,-3.93
2005-05-31,bearish_pct,23.42
2005-05-31,bull_bear_spread,20.72
2005-05-31,bullish_pct,44.14
2005-05-31,cma,0.28
2005-05-31,hml,-0.58
2005-05-31,mkt_ret,3.89
2005-05-31,mkt_rf,3.65
2005-05-31,neutral_pct,32.43
2005-05-31,rf,0.24
2005-05-31,rmw,-1.02
2005-05-31,sentiment_michigan_ics,86.9
2005-05-31,smb,2.86
2005-06-30,bearish_pct,29.45
2005-06-30,bull_bear_spread,16.44
2005-06-30,bullish_pct,45.89
2005-06-30,cma,-0.52
2005-06-30,hml,2.8
2005-06-30,mkt_ret,0.8099999999999999
2005-06-30,mkt_rf,0.58
2005-06-30,neutral_pct,24.66
2005-06-30,rf,0.23
2005-06-30,rmw,0.87
2005-06-30,sentiment_michigan_ics,96.0
2005-06-30,smb,2.56
2005-07-31,bearish_pct,17.65
2005-07-31,bull_bear_spread,39.870000000000005
2005-07-31,bullish_pct,57.52
2005-07-31,cma,-0.78
2005-07-31,hml,-0.78
2005-07-31,mkt_ret,4.16
2005-07-31,mkt_rf,3.92
2005-07-31,neutral_pct,24.84
2005-07-31,rf,0.24
2005-07-31,rmw,-1.19
2005-07-31,sentiment_michigan_ics,96.5
2005-07-31,smb,2.87
2005-08-31,bearish_pct,31.33
2005-08-31,bull_bear_spread,4.809999999999999
2005-08-31,bullish_pct,36.14
2005-08-31,cma,0.38
2005-08-31,hml,1.34
2005-08-31,mkt_ret,-0.8999999999999999
2005-08-31,mkt_rf,-1.2
2005-08-31,neutral_pct,32.53
2005-08-31,rf,0.3
2005-08-31,rmw,-1.96
2005-08-31,sentiment_michigan_ics,89.1
2005-08-31,smb,-1.07
2005-09-30,bearish_pct,39.13
2005-09-30,bull_bear_spread,-7.25
2005-09-30,bullish_pct,31.879999999999995
2005-09-30,cma,-0.61
2005-09-30,hml,0.78
2005-09-30,mkt_ret,0.77
2005-09-30,mkt_rf,0.48
2005-09-30,neutral_pct,28.99
2005-09-30,rf,0.29
2005-09-30,rmw,0.26
2005-09-30,sentiment_michigan_ics,76.9
2005-09-30,smb,-0.62
2005-10-31,bearish_pct,46.150000000000006
2005-10-31,bull_bear_spread,-14.100000000000009
2005-10-31,bullish_pct,32.05
2005-10-31,cma,-1.26
2005-10-31,hml,0.43
2005-10-31,mkt_ret,-1.77
2005-10-31,mkt_rf,-2.04
2005-10-31,neutral_pct,21.790000000000003
2005-10-31,rf,0.27
2005-10-31,rmw,-0.7
2005-10-31,sentiment_michigan_ics,74.2
2005-10-31,smb,-1.3
2005-11-30,bearish_pct,16.0
2005-11-30,bull_bear_spread,41.330000000000005
2005-11-30,bullish_pct,57.330000000000005
2005-11-30,cma,-1.09
2005-11-30,hml,-1.19
2005-11-30,mkt_ret,3.92
2005-11-30,mkt_rf,3.61
2005-11-30,neutral_pct,26.67
2005-11-30,rf,0.31
2005-11-30,rmw,-0.79
2005-11-30,sentiment_michigan_ics,81.6
2005-11-30,smb,1.05
2005-12-31,bearish_pct,36.51
2005-12-31,bull_bear_spread,0.7899999999999991
2005-12-31,bullish_pct,37.3
2005-12-31,cma,0.2
2005-12-31,hml,0.15
2005-12-31,mkt_ret,0.08
2005-12-31,mkt_rf,-0.24
2005-12-31,neutral_pct,26.19
2005-12-31,rf,0.32
2005-12-31,rmw,0.18
2005-12-31,sentiment_michigan_ics,91.5
2005-12-31,smb,-0.44
2006-01-31,bearish_pct,33.33
2006-01-31,bull_bear_spread,-2.5600000000000023
2006-01-31,bullish_pct,30.77
2006-01-31,cma,-0.35
2006-01-31,hml,0.99
2006-01-31,mkt_ret,3.38
2006-01-31,mkt_rf,3.03
2006-01-31,neutral_pct,35.9
2006-01-31,rf,0.35
2006-01-31,rmw,-0.66
2006-01-31,sentiment_michigan_ics,91.2
2006-01-31,smb,5.46
2006-02-28,bearish_pct,28.4
2006-02-28,bull_bear_spread,14.810000000000002
2006-02-28,bullish_pct,43.21
2006-02-28,cma,1.98
2006-02-28,hml,-0.31
2006-02-28,mkt_ret,0.04
2006-02-28,mkt_rf,-0.3
2006-02-28,neutral_pct,28.4
2006-02-28,rf,0.34
2006-02-28,rmw,-0.54
2006-02-28,sentiment_michigan_ics,86.7
2006-02-28,smb,-0.41
2006-03-31,bearish_pct,32.56
2006-03-31,bull_bear_spread,4.649999999999999
2006-03-31,bullish_pct,37.21
2006-03-31,cma,-0.44
2006-03-31,hml,0.61
2006-03-31,mkt_ret,1.84
2006-03-31,mkt_rf,1.47
2006-03-31,neutral_pct,30.23
2006-03-31,rf,0.37
2006-03-31,rmw,0.03
2006-03-31,sentiment_michigan_ics,88.9
2006-03-31,smb,3.39
2006-04-30,bearish_pct,35.96
2006-04-30,bull_bear_spread,6.149999999999999
2006-04-30,bullish_pct,42.11
2006-04-30,cma,-0.13
2006-04-30,hml,2.26
2006-04-30,mkt_ret,1.09
2006-04-30,mkt_rf,0.73
2006-04-30,neutral_pct,21.93
2006-04-30,rf,0.36
2006-04-30,rmw,1.74
2006-04-30,sentiment_michigan_ics,87.4
2006-04-30,smb,-1.38
2006-05-31,bearish_pct,45.540000000000006
2006-05-31,bull_bear_spread,-12.5
2006-05-31,bullish_pct,33.040000000000006
2006-05-31,cma,1.53
2006-05-31,hml,2.38
2006-05-31,mkt_ret,-3.13
2006-05-31,mkt_rf,-3.56
2006-05-31,neutral_pct,21.43
2006-05-31,rf,0.43
2006-05-31,rmw,0.87
2006-05-31,sentiment_michigan_ics,79.1
2006-05-31,smb,-3.01
2006-06-30,bearish_pct,39.77
2006-06-30,bull_bear_spread,-1.1700000000000017
2006-06-30,bullish_pct,38.6
2006-06-30,cma,-0.13
2006-06-30,hml,0.85
2006-06-30,mkt_ret,0.05
2006-06-30,mkt_rf,-0.35
2006-06-30,neutral_pct,21.64
2006-06-30,rf,0.4
2006-06-30,rmw,1.32
