,sentiment_michigan_ics,bullish_pct,neutral_pct,bearish_pct,bull_bear_spread,mkt_rf,smb,hml,rf,mkt_ret,rmw,cma
count,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0
mean,80.84007936507936,36.45012222222222,29.79702063492064,33.75240198412698,2.697720238095238,0.8098015873015872,-0.00043650793650797657,-0.06369047619047621,0.12702380952380954,0.9368253968253969,0.35503968253968254,-0.008769841269841245
std,12.916397620223526,8.488043828449962,7.173959026201107,9.403104973068093,16.415465832035842,4.390127320336212,2.495731058003042,3.148656367997886,0.15429660288523442,4.386724840012411,1.876451575806663,1.887980559283977
min,50.0,16.4384,11.01,15.0,-42.9223,-17.2,-5.93,-13.83,0.0,-17.12,-4.78,-7.08
25%,70.75,30.3949,25.173075,26.289749999999998,-9.817074999999997,-1.745,-1.8425,-1.745,0.0,-1.58,-0.775,-1.16
50%,81.6,35.75075,29.85345,32.599450000000004,2.672349999999998,1.31,-0.01,-0.225,0.04,1.395,0.335,-0.115
75%,92.64999999999999,41.955775,34.343149999999994,40.603375,14.545850000000002,3.255,1.5,1.4275,0.21,3.55,1.3225,0.9724999999999999
max,103.8,57.66,52.86,60.8076,41.88,13.6,7.14,12.86,0.48,13.6,7.19,7.73
