mkt_rf,smb,hml,rf,date,mkt_ret,rmw,cma
3.87,1.08,-2.46,0.01,2010-10-31,3.88,1.28,-0.38
0.59,3.67,-0.9,0.01,2010-11-30,0.6,0.32,1.79
6.82,0.72,3.56,0.01,2010-12-31,6.83,-3.42,3.17
1.98,-2.29,0.61,0.01,2011-01-31,1.99,-0.64,0.81
3.48,1.5,1.18,0.01,2011-02-28,3.4899999999999998,-1.83,0.84
0.45,2.49,-1.84,0.01,2011-03-31,0.46,1.73,-0.07
2.9,-0.42,-2.44,0.0,2011-04-30,2.9,1.12,-0.86
-1.27,-0.73,-1.85,0.0,2011-05-31,-1.27,1.92,-1.43
-1.74,-0.27,-0.2,0.0,2011-06-30,-1.74,2.27,-1.42
-2.35,-1.17,-0.91,0.0,2011-07-31,-2.35,2.68,-1.73
-5.96,-2.96,-2.43,0.01,2011-08-31,-5.95,3.41,-0.26
-7.58,-3.12,-1.53,0.0,2011-09-30,-7.58,1.99,0.15
11.33,3.05,0.06,0.0,2011-10-31,11.33,-2.25,-0.73
-0.27,-0.18,-0.52,0.0,2011-11-30,-0.27,1.94,1.44
0.75,-0.56,1.54,0.0,2011-12-31,0.75,1.06,2.47
5.05,2.01,-0.93,0.0,2012-01-31,5.05,-2.06,-1.48
4.42,-1.84,0.42,0.0,2012-02-29,4.42,-0.36,-0.08
3.12,-0.63,1.19,0.0,2012-03-31,3.12,-0.61,0.7
-0.85,-0.37,-0.77,0.0,2012-04-30,-0.85,1.3,0.66
-6.17,0.12,-0.95,0.01,2012-05-31,-6.16,2.03,2.36
3.89,0.72,0.55,0.0,2012-06-30,3.89,-1.06,0.45
0.79,-2.76,-0.06,0.0,2012-07-31,0.79,1.04,0.01
2.54,0.5,1.23,0.01,2012-08-31,2.55,-1.5,-0.86
2.73,0.45,1.62,0.01,2012-09-30,2.7399999999999998,-1.3,1.56
-1.76,-1.09,3.52,0.01,2012-10-31,-1.75,-1.4,2.52
0.78,0.6,-0.86,0.01,2012-11-30,0.79,0.38,0.81
1.18,1.5,3.48,0.01,2012-12-31,1.19,-1.72,0.8
