event_name,event_label,date,event_month,mkt_ret,expected_ret,abnormal_ret,car,sar
GFC,2008 Financial Crisis,2007-09-30,-12,3.54,1.89857174427246,1.6414282557275401,1.6414282557275401,0.7509129608832112
GFC,2008 Financial Crisis,2007-10-31,-11,2.11,2.632712579103651,-0.5227125791036511,1.118715676623889,-0.23912811851264684
GFC,2008 Financial Crisis,2007-11-30,-10,-4.46,1.2489682770492498,-5.70896827704925,-4.5902526004253605,-2.6117122436199636
GFC,2008 Financial Crisis,2007-12-31,-9,-0.6,1.1516605837829095,-1.7516605837829093,-6.34191318420827,-0.8013415334122116
GFC,2008 Financial Crisis,2008-01-31,-8,-6.12,0.9392964997517789,-7.059296499751779,-13.40120968396005,-3.229454115880039
GFC,2008 Financial Crisis,2008-02-29,-7,-2.96,-0.13438928941455408,-2.8256107105854458,-16.226820394545495,-1.2926472403440983
GFC,2008 Financial Crisis,2008-03-31,-6,-0.7699999999999999,1.1042396614442662,-1.8742396614442662,-18.101060055989763,-0.8574184395016735
GFC,2008 Financial Crisis,2008-04-30,-5,4.79,0.6152997502723185,4.174700249727682,-13.92635980626208,1.9098224454125912
GFC,2008 Financial Crisis,2008-05-31,-4,2.0500000000000003,1.609414794129641,0.4405852058703592,-13.485774600391721,0.201556869943615
GFC,2008 Financial Crisis,2008-06-30,-3,-8.26,0.2059875363792619,-8.465987536379261,-21.95176213677098,-3.872980585998969
GFC,2008 Financial Crisis,2008-07-31,-2,-0.6,-1.1097619698422312,0.5097619698422312,-21.44200016692875,0.23320353404677022
GFC,2008 Financial Crisis,2008-08-31,-1,1.66,1.1839602360026116,0.47603976399738834,-20.965960402931362,0.21777645622591216
GFC,2008 Financial Crisis,2008-09-30,0,-9.2,-0.5878575205823813,-8.612142479417617,-29.57810288234898,-3.9398428692828666
GFC,2008 Financial Crisis,2008-10-31,1,-17.12,-0.049221299101799176,-17.070778700898202,-46.64888158324718,-7.809460409947574
GFC,2008 Financial Crisis,2008-11-30,2,-7.71,0.5613988202511229,-8.271398820251123,-54.9202804034983,-3.783961045563754
GFC,2008 Financial Crisis,2008-12-31,3,1.77,-0.347427002369218,2.117427002369218,-52.802853401129084,0.9686706526800861
GFC,2008 Financial Crisis,2009-01-31,4,-8.09,0.8172546600050263,-8.907254660005027,-61.71010806113411,-4.074849416504372
GFC,2008 Financial Crisis,2009-02-28,5,-10.13,1.8564163429406118,-11.986416342940613,-73.69652440407472,-5.483489975909419
GFC,2008 Financial Crisis,2009-03-31,6,9.03,1.2100985706328755,7.819901429367124,-65.8766229747076,3.5774121199943716
GFC,2008 Financial Crisis,2009-04-30,7,10.18,3.2607034601467935,6.919296539853207,-58.957326434854394,3.165407585643863
GFC,2008 Financial Crisis,2009-05-31,8,5.21,-0.9433544153578929,6.153354415357893,-52.8039720194965,2.8150079464497493
GFC,2008 Financial Crisis,2009-06-30,9,0.43,2.8272125232682668,-2.3972125232682666,-55.201184542764764,-1.0966656309421332
GFC,2008 Financial Crisis,2009-07-31,10,7.75,1.401709410750227,6.348290589249773,-48.85289395351499,2.9041864402460043
GFC,2008 Financial Crisis,2009-08-31,11,3.34,0.38108667575945954,2.95891332424054,-45.89398062927445,1.3536298997834841
GFC,2008 Financial Crisis,2009-09-30,12,4.09,2.3410863699942768,1.748913630005723,-44.14506699926873,0.8000848697797691
COVID,COVID Shock,2019-03-31,-12,1.29,0.5431344838382905,0.7468655161617095,0.7468655161617095,0.22633929164074176
COVID,COVID Shock,2019-04-30,-11,4.180000000000001,-0.5216759135979893,4.70167591359799,5.4485414297596995,1.4248535683868608
COVID,COVID Shock,2019-05-31,-10,-6.71,2.137765636983304,-8.847765636983304,-3.3992242072236047,-2.6813354794713806
COVID,COVID Shock,2019-06-30,-9,7.1,-0.5954656445828751,7.695465644582875,4.29624143735927,2.332128348610789
COVID,COVID Shock,2019-07-31,-8,1.42,1.3892091388274752,0.03079086117252472,4.327032298531795,0.009331240438859295
COVID,COVID Shock,2019-08-31,-7,-2.39,0.24146118523421506,-2.6314611852342153,1.6955711132975795,-0.7974702911803208
COVID,COVID Shock,2019-09-30,-6,1.59,-0.04965686240557986,1.6396568624055798,3.3352279757031593,0.4969017376488519
COVID,COVID Shock,2019-10-31,-5,2.22,3.8435911813272177,-1.6235911813272175,1.7116367943759419,-0.49203299649490195
COVID,COVID Shock,2019-11-30,-4,3.99,0.6977688029955789,3.2922311970044214,5.003867991380363,0.9977181445959162
COVID,COVID Shock,2019-12-31,-3,2.91,-0.871173243139959,3.781173243139959,8.785041234520323,1.1458931426122005
COVID,COVID Shock,2020-01-31,-2,0.02,0.9192045614893559,-0.8992045614893559,7.885836673030967,-0.27250598545984794
COVID,COVID Shock,2020-02-29,-1,-8.030000000000001,-2.5314362526673353,-5.498563747332666,2.3872729256983014,-1.6663522370247887
COVID,COVID Shock,2020-03-31,0,-13.25,-0.9906960153927664,-12.259303984607234,-9.872031058908933,-3.7152099271426793
COVID,COVID Shock,2020-04-30,1,13.6,-4.882293113192662,18.48229311319266,8.610262054283728,5.601100921937378
COVID,COVID Shock,2020-05-31,2,5.58,4.682552433995686,0.8974475660043142,9.507709620288043,0.27197352398600183
COVID,COVID Shock,2020-06-30,3,2.46,2.2744991532995664,0.18550084670043354,9.693210466988477,0.0562164530727152
COVID,COVID Shock,2020-07-31,4,5.84,2.205265471360255,3.6347345286397448,13.327944995628222,1.1015145574566063
COVID,COVID Shock,2020-08-31,5,7.63,1.653811155048571,5.976188844951428,19.304133840579652,1.8110976080796015
COVID,COVID Shock,2020-09-30,6,-3.63,4.580574074328592,-8.21057407432859,11.093559766251062,-2.4882331286332966
COVID,COVID Shock,2020-10-31,7,-2.0700000000000003,0.22404656720754693,-2.2940465672075474,8.799513199043513,-0.6952160245409008
COVID,COVID Shock,2020-11-30,8,12.46,3.1474149247440506,9.31258507525595,18.112098274299463,2.82220006636536
COVID,COVID Shock,2020-12-31,9,4.64,1.459667063412627,3.180332936587373,21.292431210886836,0.9638071225302753
COVID,COVID Shock,2021-01-31,10,-0.07,0.37702235491976077,-0.4470223549197608,20.845408855967076,-0.13547114034678226
COVID,COVID Shock,2021-02-28,11,2.81,0.9730724882239484,1.8369275117760515,22.682336367743126,0.556685056163124
COVID,COVID Shock,2021-03-31,12,3.16,4.2130571809119175,-1.0530571809119174,21.62927918683121,-0.3191313713474398
