term,coef,std_err,t_stat,p_value,ci_low,ci_high
Intercept,-2.1852691610654515,13.31932709540413,-0.16406753474952082,0.8696779789653439,-28.290670566366035,23.92013224423513
C(sic2_label)[T.10],-6.864559120649005,7.7969501293785815,-0.880415932735498,0.37863402840575355,-22.146300563485937,8.417182322187928
C(sic2_label)[T.12],4.194371644786551,3.298241685229355,1.2716993007426864,0.20347997915571614,-2.2700632705716783,10.658806560144779
C(sic2_label)[T.13],10.33304662718965,12.502466614696273,0.8264806414314649,0.4085314950463793,-14.171337655529458,34.83743090990876
C(sic2_label)[T.14],-13.918061212844917,15.118632735347036,-0.9205899406700178,0.35726455606086593,-43.55003686961339,15.713914443923558
C(sic2_label)[T.15],-6.222583342725701,5.058070318233801,-1.2302287139611239,0.2186114701896834,-16.136218997735,3.691052312283598
C(sic2_label)[T.16],-1.4941191465666444,2.3207971362469735,-0.643795669699432,0.5197079421549422,-6.0427979490344095,3.0545596559011203
C(sic2_label)[T.2],3.1918766255789217,4.6771802152756194,0.6824361001002885,0.49496323531333053,-5.975228145564588,12.358981396722431
C(sic2_label)[T.20],-0.02186553932483628,1.8351149225686294,-0.01191507902634831,0.9904933673460229,-3.61862469505136,3.5748936164016873
C(sic2_label)[T.21],4.990902027891255,4.137815227969322,1.2061684132620378,0.22775256041874692,-3.1190667936100107,13.100870849392521
C(sic2_label)[T.22],-1.5690312268969184,2.2036702349722783,-0.7120081770840166,0.47645971246340335,-5.888145521245502,2.750083067451665
C(sic2_label)[T.23],-4.319886116002527,6.202870569580791,-0.696433379923721,0.48615746480488564,-16.47728903314433,7.837516801139275
C(sic2_label)[T.24],-0.6256264997642614,3.2561233015865927,-0.19213845478745106,0.8476337534790652,-7.007510900095636,5.756257900567113
C(sic2_label)[T.25],-0.1519562668533699,1.84646393848506,-0.08229582158969383,0.9344114770399489,-3.7709590850360692,3.4670465513293296
C(sic2_label)[T.26],1.66459464182469,1.7126422078889119,0.9719453568042985,0.33107773362843684,-1.6921224040407372,5.021311687690117
C(sic2_label)[T.27],-1.434132220618594,3.1300676284413225,-0.4581793082000429,0.6468236244093424,-7.568952041538285,4.700687600301098
C(sic2_label)[T.28],2.4150399578275596,1.9109508541033553,1.263789674465872,0.20630552826568027,-1.330354892441072,6.160434808096191
C(sic2_label)[T.29],2.6596291080926564,2.3519708830065755,1.1308086878579018,0.25813562246982313,-1.9501491152871004,7.269407331472413
C(sic2_label)[T.30],-1.629573633975318,2.895681360778065,-0.5627599970244841,0.5735983234615627,-7.3050048118042605,4.045857543853624
C(sic2_label)[T.31],-4.249674051843123,5.360308149160767,-0.7928040578242634,0.4278919919661278,-14.755684970234782,6.256336866548536
C(sic2_label)[T.32],-2.281405161608819,3.5636286755316764,-0.6401916050550481,0.5220480398778277,-9.26598901992508,4.7031786967074405
C(sic2_label)[T.33],-0.7628896053337312,2.1143920140385357,-0.36080802437226156,0.7182429637427588,-4.907021802048369,3.381242591380907
C(sic2_label)[T.34],-0.7785941447868908,2.1995828638580575,-0.35397354542999143,0.7233587090384173,-5.0896973389601525,3.5325090493863707
C(sic2_label)[T.35],-3.1235440716059504,4.126262769984009,-0.7569910705464005,0.4490552121692315,-11.210870491523089,4.963782348311188
C(sic2_label)[T.36],-4.905250431273567,6.139700633818954,-0.7989396753734641,0.4243253918577412,-16.93884254941646,7.128341686869327
C(sic2_label)[T.37],0.8815075171956855,2.885529627675758,0.30549245058548363,0.7599911189039078,-4.774026629372072,6.537041663763443
C(sic2_label)[T.38],-7.615358306136227,8.47639616739433,-0.8984193465885645,0.3689620260669292,-24.22878951292246,8.998072900650008
C(sic2_label)[T.39],-2.137636091547202,3.2595657118383543,-0.6558039568840605,0.5119502701681635,-8.52626749199204,4.250995308897636
C(sic2_label)[T.41],-2.2842567544721684,4.946779751190496,-0.46176641560045956,0.6442488373186247,-11.979766906257549,7.411253397313213
C(sic2_label)[T.42],-3.4447039969472324,3.906134398084209,-0.8818703213685406,0.37784693814593506,-11.100586735965324,4.21117874207086
C(sic2_label)[T.44],-8.100166177082215,8.802773438997352,-0.9201834209656582,0.3574769165447279,-25.353285081582822,9.152952727418391
C(sic2_label)[T.45],-1.4001150457340752,3.632540572522452,-0.38543686375451247,0.6999137750109705,-8.51976374025859,5.71953364879044
C(sic2_label)[T.47],-7.1611012416809565,8.301295167549121,-0.8626486707369068,0.3883306618599439,-23.431340795113627,9.109138311751714
C(sic2_label)[T.48],-1.3593176630099644,2.9595072305240753,-0.4593054036124973,0.646014867918183,-7.159845246823031,4.441209920803103
C(sic2_label)[T.49],-8.003229007074644,9.26266980291983,-0.8640304768881885,0.3875711486271408,-26.157728221484234,10.151270207334946
C(sic2_label)[T.50],-0.6579031817922388,2.0489195766955213,-0.321097611285114,0.7481364204613768,-4.673711759334514,3.3579053957500364
