variable,vif
sentiment_lag1,1.003970500635706
log_at,1.1516259470852264
leverage,1.0476517546228858
profitability,1.3125933821912115
capex_intensity,1.0449003690541994
cash_ratio,1.1347618780608828
rd_intensity,1.290947196768767
