term,coef,std_err,t_stat,p_value,ci_low,ci_high
Intercept,0.4474365665568251,0.4064891676050224,1.1007342931007462,0.2710123163947763,-0.3492675620546844,1.2441406951683347
C(variable)[T.bull_bear_spread],4.456759960472135e-15,6.3342633514096005e-15,0.7035956216566756,0.48168463877714773,-7.958168076882662e-15,1.6871687997826932e-14
C(variable)[T.bullish_pct],2.9587810772660997e-15,4.598957621810127e-15,0.6433590653748051,0.5199911383929905,-6.055010227907728e-15,1.1972572382439927e-14
C(variable)[T.cma],0.05592957081960523,0.05081114595063143,1.1007342931007087,0.27101231639479273,-0.04365844525684058,0.15551758689605105
C(variable)[T.hml],0.0559295708196052,0.050811145950630306,1.1007342931007327,0.27101231639478207,-0.0436584452568384,0.1555175868960488
C(variable)[T.mkt_ret],0.05592957081960769,0.05081114595063339,1.1007342931007147,0.27101231639479006,-0.04365844525684196,0.15551758689605735
C(variable)[T.mkt_rf],0.05592957081960768,0.05081114595063132,1.1007342931007593,0.2710123163947705,-0.04365844525683791,0.15551758689605327
C(variable)[T.neutral_pct],2.8042643649031215e-15,4.387767771049577e-15,0.6391095680600085,0.5227516559337391,-5.79560243887964e-15,1.1404131168685882e-14
C(variable)[T.rf],0.055929570819608754,0.05081114595063512,1.1007342931006983,0.27101231639479717,-0.043658445256844286,0.1555175868960618
C(variable)[T.rmw],0.05592957081960795,0.05081114595063609,1.1007342931006614,0.27101231639481327,-0.043658445256847006,0.1555175868960629
C(variable)[T.sentiment_michigan_ics],3.872770160118222e-16,4.455828055297683e-15,0.08691471286720222,0.9307393046006694,-8.345985493674784e-15,9.120539525698429e-15
C(variable)[T.smb],0.05592957081960718,0.05081114595063224,1.1007342931007296,0.2710123163947835,-0.04365844525684023,0.15551758689605458
C(date)[T.Timestamp('2004-02-29 00:00:00')],-0.38689256803259936,0.4667652384124759,-0.8288804225191811,0.4071720744729437,-1.3017356245563039,0.5279504884911053
C(date)[T.Timestamp('2004-03-31 00:00:00')],-0.5137303109964325,0.5776411345050697,-0.8893589467734205,0.3738102008730275,-1.6458861306152262,0.6184255086223612
C(date)[T.Timestamp('2004-04-30 00:00:00')],-0.5285093900355842,0.5115579631505909,-1.033136864453429,0.301539853751701,-1.5311445738154104,0.474125793744242
C(date)[T.Timestamp('2004-05-31 00:00:00')],-0.5962551762068944,0.4566282518167036,-1.3057781112637745,0.19162802578898985,-1.49123010409112,0.2987197516773311
C(date)[T.Timestamp('2004-06-30 00:00:00')],-0.11639011160961152,0.32346158483710835,-0.3598266906044632,0.7189767420485569,-0.7503631682725912,0.5175829450533681
C(date)[T.Timestamp('2004-07-31 00:00:00')],-0.5227485877190139,0.6819708247435669,-0.7665263215850571,0.44336319629781784,-1.859386842723482,0.8138896672854543
C(date)[T.Timestamp('2004-08-31 00:00:00')],-0.4036158028713229,0.4264710437326428,-0.9464084579781038,0.34394029307651885,-1.239483689036509,0.4322520832938632
C(date)[T.Timestamp('2004-09-30 00:00:00')],-0.48147750956086555,0.45055500791330555,-1.0686320229593587,0.2852355130382698,-1.3645490981251034,0.4015940790033724
C(date)[T.Timestamp('2004-10-31 00:00:00')],-0.40625388695094383,0.35970007179374075,-1.1294239807210769,0.2587190213556799,-1.1112530729031476,0.29874529900125985
C(date)[T.Timestamp('2004-11-30 00:00:00')],-0.053313749400922844,0.3170483549626658,-0.1681565242853912,0.8664601424341116,-0.6747171064854187,0.5680896076835731
C(date)[T.Timestamp('2004-12-31 00:00:00')],-0.13532764478245268,0.2391089634021076,-0.5659664232447584,0.5714166059218491,-0.6039726014312894,0.3333173118663841
C(date)[T.Timestamp('2005-01-31 00:00:00')],-0.5318278676508765,0.645746762480075,-0.8235858056931202,0.41017494390372844,-1.7974682652451641,0.7338125299434111
C(date)[T.Timestamp('2005-02-28 00:00:00')],-0.3048199714826019,0.5121009014172686,-0.5952342021640563,0.5516869310493226,-1.308519294710945,0.6988793517457412
C(date)[T.Timestamp('2005-03-31 00:00:00')],-0.574008944820697,0.644021143219209,-0.8912889753144617,0.3727741616239971,-1.8362671908126589,0.6882493011712648
C(date)[T.Timestamp('2005-04-30 00:00:00')],-0.7100748485727366,0.5802729106782527,-1.223691189965709,0.22106874438611757,-1.8473888547063397,0.4272391575608665
C(date)[T.Timestamp('2005-05-31 00:00:00')],-0.15370917751601404,0.3336198201485918,-0.46073155200297483,0.6449912150657926,-0.8075920095359843,0.5001736545039561
C(date)[T.Timestamp('2005-06-30 00:00:00')],-0.13048437535822174,0.3864816733337082,-0.3376211198649898,0.7356487244705061,-0.8879745357770641,0.6270057850606205
C(date)[T.Timestamp('2005-07-31 00:00:00')],-0.05153964708096716,0.28246981775326585,-0.18246072267440072,0.8552211756732009,-0.605170316596961,0.5020910224350267
C(date)[T.Timestamp('2005-08-31 00:00:00')],-0.49595401105702763,0.4228327846714815,-1.1729317806857325,0.2408231637727104,-1.3246910404959111,0.332783018381856
C(date)[T.Timestamp('2005-09-30 00:00:00')],-0.5363956983844583,0.5607283893386061,-0.9566052095510112,0.3387665583791185,-1.6354031465972794,0.5626117498283628
C(date)[T.Timestamp('2005-10-31 00:00:00')],-0.8185233806590697,0.6019610258406528,-1.3597614222880667,0.17390543395991953,-1.998345311403534,0.3612985500853947
C(date)[T.Timestamp('2005-11-30 00:00:00')],-0.17566803405074555,0.3495542994536678,-0.5025486292839312,0.6152816543261951,-0.8607818716210636,0.5094458035195724
C(date)[T.Timestamp('2005-12-31 00:00:00')],-0.39295327334330343,0.4809632396584277,-0.817013112316801,0.41392093473553215,-1.3356239009615283,0.5497173542749214
C(date)[T.Timestamp('2006-01-31 00:00:00')],-0.09277814907666138,0.5301306849808637,-0.17500995830869595,0.8610718087506418,-1.1318151987387033,0.9462589005853804
C(date)[T.Timestamp('2006-02-28 00:00:00')],-0.2966059470507867,0.3755202474420144,-0.7898534075624959,0.42961338437598795,-1.0326121075027044,0.4394002134011309
C(date)[T.Timestamp('2006-03-31 00:00:00')],-0.18104641856262918,0.47360582809787466,-0.3822723619972312,0.7022593527220192,-1.1092967845027315,0.7472039473774732
C(date)[T.Timestamp('2006-04-30 00:00:00')],-0.26095736218761567,0.5147228845788844,-0.5069861278872717,0.6121645520184558,-1.2697956779807962,0.747880953605565
C(date)[T.Timestamp('2006-05-31 00:00:00')],-0.5595470666065593,0.6465033020498565,-0.8654976159169077,0.38676572390680664,-1.826670254510498,0.7075761212973796
C(date)[T.Timestamp('2006-06-30 00:00:00')],-0.35854164747725215,0.5530726795983393,-0.6482722085235482,0.5168089057733906,-1.4425441803230576,0.7254608853685535
C(date)[T.Timestamp('2006-07-31 00:00:00')],-0.4304365805979435,0.6260053590025644,-0.6875924852844275,0.4917094417787623,-1.6573845383720367,0.7965113771761496
C(date)[T.Timestamp('2006-08-31 00:00:00')],-0.2252720506831173,0.3920745813807361,-0.5745642828713753,0.5655860137168891,-0.9937241094429785,0.5431800080767439
C(date)[T.Timestamp('2006-09-30 00:00:00')],-0.2216660061139834,0.4649769263601362,-0.4767247438473916,0.6335581407007631,-1.1330040354219832,0.6896720231940165
C(date)[T.Timestamp('2006-10-31 00:00:00')],-0.047936206560063116,0.39950048613464195,-0.11999035851963238,0.9044907855624225,-0.8309427711902047,0.7350703580700784
C(date)[T.Timestamp('2006-11-30 00:00:00')],-0.3463338968173725,0.6059062969382399,-0.5715964639540201,0.5675953915843075,-1.5338884168223546,0.8412206231876095
